Date,Start time of the trip,Section 1,Section 2,Section 3,Section 4,Section 5,Section 6,Section 7,Section 8,Section 9,Section 10
2013-10-01,07:30:00,12.5,14.2,11.8,15.1,13.9,18.3,22.1,16.7,14.5,12.0
2013-10-01,08:00:00,15.3,18.7,21.5,25.4,23.1,31.2,28.9,20.3,17.8,15.2
2013-10-01,08:30:00,22.1,28.5,35.2,42.8,38.7,55.3,48.1,32.6,25.4,20.1
2013-10-01,09:00:00,18.4,22.3,26.1,30.5,28.2,38.4,33.7,24.8,20.1,17.3
2013-10-01,09:30:00,14.1,16.5,18.2,20.4,19.1,24.7,22.3,18.1,15.8,13.5
2013-10-01,10:00:00,11.8,13.1,12.5,14.0,13.2,16.1,15.4,13.8,12.2,11.0
2013-10-02,07:30:00,13.0,14.8,12.3,15.7,14.5,19.1,23.0,17.2,15.0,12.5
2013-10-02,08:00:00,16.1,19.5,22.3,26.8,24.5,33.1,30.2,21.5,18.6,15.9
2013-10-02,08:30:00,23.5,30.1,37.4,45.2,40.1,58.7,50.3,34.2,26.8,21.3
2013-10-02,09:00:00,19.2,23.8,27.5,32.1,29.8,40.5,35.6,26.1,21.5,18.1
